2025-07-04 10:22:58,845 - INFO - === Starting new sender session ===
2025-07-04 10:22:58,845 - INFO - Starting video sender...
2025-07-04 10:22:58,846 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:22:58,846 - INFO - Press Ctrl+C to stop
2025-07-04 10:22:58,846 - ERROR - Error: Video file not found at test_video.mp4
2025-07-04 10:47:08,329 - INFO - === Starting new sender session ===
2025-07-04 10:47:08,329 - INFO - Starting video sender...
2025-07-04 10:47:08,329 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:47:08,329 - INFO - Press Ctrl+C to stop
2025-07-04 10:47:08,329 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 16:59:17,336 - INFO - === Starting new sender session ===
2025-07-24 16:59:17,337 - INFO - Starting video sender...
2025-07-24 16:59:17,337 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 16:59:17,337 - INFO - Press Ctrl+C to stop
2025-07-24 16:59:17,337 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 17:00:50,494 - INFO - === Starting new sender session ===
2025-07-24 17:00:50,494 - INFO - Starting video sender...
2025-07-24 17:00:50,494 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 17:00:50,494 - INFO - Press Ctrl+C to stop
2025-07-24 17:00:50,536 - INFO - Starting video stream from test_video.mp4
2025-07-24 17:00:50,537 - INFO - Sending to 127.0.0.1:5005
2025-07-24 17:00:59,428 - INFO - Frame 69: Sending 70 packets, total size 96489 bytes
2025-07-24 17:00:59,428 - INFO - Sent start of frame 69, total packets: 70
2025-07-24 17:00:59,517 - INFO - Sent end of frame 69, packet 69/69
2025-07-24 17:00:59,561 - INFO - Frame 70: Sending 70 packets, total size 97117 bytes
2025-07-24 17:00:59,561 - INFO - Sent start of frame 70, total packets: 70
2025-07-24 17:00:59,651 - INFO - Sent end of frame 70, packet 69/69
2025-07-24 17:00:59,698 - INFO - Frame 71: Sending 70 packets, total size 97032 bytes
2025-07-24 17:00:59,698 - INFO - Sent start of frame 71, total packets: 70
2025-07-24 17:00:59,787 - INFO - Sent end of frame 71, packet 69/69
2025-07-24 17:00:59,832 - INFO - Frame 72: Sending 72 packets, total size 99224 bytes
2025-07-24 17:00:59,832 - INFO - Sent start of frame 72, total packets: 72
2025-07-24 17:00:59,919 - INFO - Sent end of frame 72, packet 71/71
2025-07-24 17:00:59,962 - INFO - Frame 73: Sending 71 packets, total size 97389 bytes
2025-07-24 17:00:59,963 - INFO - Sent start of frame 73, total packets: 71
2025-07-24 17:01:00,051 - INFO - Sent end of frame 73, packet 70/70
2025-07-24 17:01:00,092 - INFO - Frame 74: Sending 71 packets, total size 97688 bytes
2025-07-24 17:01:00,093 - INFO - Sent start of frame 74, total packets: 71
2025-07-24 17:01:00,177 - INFO - Sent end of frame 74, packet 70/70
2025-07-24 17:01:00,219 - INFO - Frame 75: Sending 71 packets, total size 97287 bytes
2025-07-24 17:01:00,219 - INFO - Sent start of frame 75, total packets: 71
2025-07-24 17:01:00,305 - INFO - Sent end of frame 75, packet 70/70
2025-07-24 17:01:00,352 - INFO - Frame 76: Sending 72 packets, total size 99369 bytes
2025-07-24 17:01:00,353 - INFO - Sent start of frame 76, total packets: 72
2025-07-24 17:01:00,438 - INFO - Sent end of frame 76, packet 71/71
2025-07-24 17:01:00,482 - INFO - Frame 77: Sending 71 packets, total size 97318 bytes
2025-07-24 17:01:00,482 - INFO - Sent start of frame 77, total packets: 71
